品目,産地,年,月,数量_kg,金額_円
ひらめ,合計,2023,9,1045,2423451
ひらめ,合計,2023,10,1119,2632897
ひらめ,合計,2023,11,1043,2369847
ひらめ,合計,2023,12,1614,3760222
ひらめ,広島,2023,1,1282,2843922
ひらめ,広島,2023,2,1113,2520461
ひらめ,広島,2023,3,1544,3387533
ひらめ,広島,2023,4,1550,3092091
ひらめ,広島,2023,5,1457,2431799
ひらめ,広島,2023,6,648,974096
ひらめ,広島,2023,7,593,908935
ひらめ,広島,2023,8,388,417515
ひらめ,広島,2023,9,609,1193806
ひらめ,広島,2023,10,666,1352449
ひらめ,広島,2023,11,708,1424467
ひらめ,広島,2023,12,893,1718318
ひらめ,愛媛,2023,3,7,12463
ひらめ,愛媛,2023,4,7,18562
ひらめ,愛媛,2023,5,362,1022376
ひらめ,愛媛,2023,6,594,1675513
ひらめ,愛媛,2023,7,640,1803252
ひらめ,愛媛,2023,8,881,2487052
ひらめ,愛媛,2023,9,436,1229645
ひらめ,愛媛,2023,10,453,1280448
ひらめ,愛媛,2023,11,335,945380
ひらめ,愛媛,2023,12,721,2041904
めばる,合計,2023,1,1373,2078076
めばる,合計,2023,2,1835,2791869
めばる,合計,2023,3,2568,4053555
めばる,合計,2023,4,1833,2930017
めばる,合計,2023,5,1998,3047616
めばる,合計,2023,6,1792,2513401
